object_id,fire_date,latitude,longitude,avg_temperature_2m_max,avg_temperature_2m_min,avg_temperature_2m_mean,avg_precipitation_sum,avg_snowfall_sum,avg_wind_speed_10m_max,avg_wind_gusts_10m_max,avg_relative_humidity_2m,avg_pressure_msl,avg_surface_pressure,avg_soil_temperature_0_to_7cm,avg_soil_moisture_0_to_7cm,Unnamed: 0
4451803,2006-01-01 18:00:00,34.7675018310547,-92.8305587768555,17.25,5.5,10.35,0.05,0.0,17.45,39.95,69.85416666666667,1009.4270833333334,981.54375,10.277083333333334,0.3987083333333333,1799.0
4451805,2006-01-02 14:00:00,34.799446105957,-94.7252807617188,20.6,9.9,14.0,0.05,0.0,22.85,59.75,61.020833333333336,1004.7958333333332,971.1666666666666,13.008333333333333,0.3598333333333333,1800.0
4451811,2006-01-05 22:00:00,33.7286109924316,-94.6861114501953,17.8,7.3,12.75,0.0,0.0,20.35,46.4,47.16666666666666,1018.5875,1006.2604166666666,12.46875,0.3069166666666666,1801.0
4451814,2006-01-08 08:30:00,34.6011123657227,-94.259162902832,17.75,5.65,9.75,0.0,0.0,18.35,42.65,40.708333333333336,1013.6354166666666,963.3708333333334,8.802083333333334,0.3688541666666667,1802.0
4451822,2006-02-07 14:15:00,34.4252777099609,-93.8258361816406,9.15,1.0499999999999998,4.25,0.8,0.0,13.3,30.95,57.72916666666666,1022.2374999999998,977.2541666666666,5.5687500000000005,0.4591041666666666,1803.0
4451839,2006-03-12 16:30:00,34.9966659545898,-94.2469482421875,24.5,15.2,18.7,5.05,0.0,22.2,58.85,77.70833333333333,1008.0729166666666,945.35,16.791666666666668,0.4671041666666666,1804.0
4451843,2006-03-13 21:00:00,34.4416656494141,-93.8444442749023,24.5,16.299999999999997,19.4,11.55,0.0,25.25,61.0,70.85416666666667,1009.7041666666668,960.4708333333332,18.45833333333333,0.4552083333333334,1805.0
4451846,2006-03-14 19:30:00,34.6830558776855,-94.4527740478516,17.5,6.65,11.5,9.5,0.0,17.9,53.8,48.25,1016.6395833333332,939.5125000000002,13.24375,0.4585208333333333,1806.0
4451849,2006-03-17 17:30:00,34.935001373291,-94.2788925170898,19.200000000000003,8.2,13.45,0.0,0.0,15.85,40.650000000000006,43.66666666666666,1020.6916666666666,993.0270833333334,13.908333333333331,0.4425416666666666,1807.0
4451850,2006-03-17 12:00:00,34.4866676330566,-94.3047256469727,19.35,7.65,12.95,0.0,0.0,18.25,39.95,43.4375,1020.60625,975.275,13.360416666666667,0.4354375,1808.0
4451857,2006-04-03 16:30:00,34.8641662597656,-94.8761138916016,26.95,15.4,19.75,0.2,0.0,20.3,50.95,63.04166666666666,1014.34375,991.4583333333334,19.060416666666665,0.4449583333333333,1809.0
4451859,2006-04-03 17:30:00,34.8127784729004,-94.6072235107422,25.15,14.45,18.65,0.7,0.0,20.35,51.3,68.8125,1014.5437500000002,975.4395833333334,17.754166666666666,0.4618541666666666,1810.0
4451861,2006-04-07 18:11:00,34.8358345031738,-93.0430526733398,25.200000000000003,16.299999999999997,19.9,1.15,0.0,24.5,58.35,71.72916666666667,1004.6291666666666,966.05625,18.24375,0.4585833333333333,1811.0
4451862,2006-04-07 21:30:00,34.6561126708984,-93.3288879394531,25.6,16.75,20.3,1.5499999999999998,0.0,24.3,58.35,73.97916666666667,1004.4333333333334,979.3145833333332,18.789583333333336,0.4677499999999999,1812.0
4451869,2006-04-12 17:50:00,35.0449981689453,-93.3202743530273,26.2,12.65,18.8,0.0,0.0,19.4,46.05,58.270833333333336,1018.7208333333334,989.0791666666668,17.252083333333335,0.3949791666666667,1813.0
4451878,2006-05-22 16:00:00,34.235279083252,-94.5966644287109,29.95,18.65,24.5,0.0,0.0,11.75,31.0,62.5625,1013.1229166666668,986.4541666666668,24.21666666666667,0.3392708333333333,1814.0
4451884,2006-06-26 22:30:00,34.3566665649414,-93.7866668701172,28.55,20.1,24.65,0.2,0.0,14.1,34.95,61.625,1016.1895833333332,980.9104166666666,25.085416666666664,0.414625,1815.0
4451892,2006-06-12 20:32:00,30.638334274292,-89.6227798461914,35.3,23.15,28.55,0.0,0.0,14.4,41.4,65.8125,1011.1916666666666,1004.4645833333334,29.160416666666663,0.07625,1816.0
4451903,2006-06-27 19:15:00,31.0583324432373,-89.2333297729492,33.599999999999994,22.75,28.1,0.2,0.0,10.7,25.9,54.875,1013.0604166666668,1007.2312500000002,28.622916666666665,0.3088541666666666,1817.0
4451904,2006-06-28 15:46:00,30.6761112213135,-88.8547210693359,33.6,22.45,28.25,0.0,0.0,11.15,24.5,48.85416666666666,1016.1395833333332,1010.6375,28.71875,0.2112083333333333,1818.0
4451906,2006-07-01 22:10:00,30.8955554962158,-89.0124969482422,36.6,22.65,29.6,0.0,0.0,12.2,30.95,49.5,1018.2916666666666,1010.5104166666666,30.131250000000005,0.1945416666666667,1819.0
4451908,2006-07-11 21:26:00,30.3586120605469,-89.4405517578125,30.85,25.05,27.5,0.25,0.0,19.0,32.2,70.1875,1017.6520833333334,1017.0520833333334,27.829166666666666,0.2745416666666666,1820.0
4451932,2006-08-10 14:00:00,34.4816665649414,-89.303337097168,38.1,26.4,32.0,0.0,0.0,9.85,29.2,51.0,1015.4083333333334,1001.6437499999998,32.2625,0.2596041666666667,1821.0
4451942,2006-12-07 18:00:00,31.1000003814697,-89.1500015258789,15.05,5.45,9.1,0.0,0.0,13.55,35.45,59.4375,1025.6895833333333,1017.2833333333332,9.4,0.3533333333333333,1822.0
4451943,2006-12-08 16:30:00,31.0972213745117,-89.1194458007813,11.8,3.25,6.550000000000001,0.0,0.0,21.15,48.25,46.875,1030.4333333333334,1022.2833333333332,8.627083333333333,0.3467291666666666,1823.0
4451947,2006-11-05 21:00:00,31.1599998474121,-89.1433334350586,19.5,6.75,11.7,0.0,0.0,12.0,28.450000000000003,55.97916666666666,1026.2875,1013.2145833333332,13.233333333333334,0.3127708333333333,1824.0
4451950,2006-10-06 21:00:00,31.5952777862549,-90.767219543457,30.700000000000003,20.700000000000003,25.3,0.0,0.0,12.0,31.15,60.54166666666666,1019.43125,1005.7729166666668,26.243749999999995,0.1678541666666666,1825.0
4451952,2006-10-13 02:40:00,31.3552780151367,-90.8919448852539,24.25,14.2,18.95,0.2,0.0,12.4,29.9,50.583333333333336,1013.2770833333334,1000.2208333333332,20.9625,0.1734791666666666,1826.0
4451953,2006-12-08 18:30:00,31.3333339691162,-90.9400024414063,10.25,2.6500000000000004,6.15,0.0,0.0,20.9,49.0,49.520833333333336,1032.0708333333332,1018.2958333333336,8.583333333333334,0.2708958333333333,1827.0
4451957,2006-03-04 17:30:00,37.4319458007813,-79.8150024414063,9.55,-1.4,2.55,0.0,0.0,20.1,57.05,47.1875,1019.7208333333334,964.8,4.641666666666667,0.4566041666666667,1828.0
4451974,2006-04-30 20:30:00,38.6766662597656,-78.5524978637695,16.700000000000003,4.45,10.5,0.0,0.0,9.8,30.05,54.25,1028.2625,966.65,10.702083333333334,0.348875,1829.0
4451981,2006-08-25 22:00:00,38.9519462585449,-78.7097244262695,28.35,13.7,21.45,0.0,0.0,8.6,23.4,47.04166666666666,1015.1520833333334,909.74375,21.19375,0.1470208333333333,1830.0
4451984,2006-12-01 21:00:00,37.0530548095703,-80.1111145019531,17.9,11.1,14.3,1.8,0.0,26.0,76.5,89.625,1017.3562500000002,933.0208333333334,13.0625,0.4481458333333334,1831.0
4451986,2006-12-03 22:00:00,37.2594451904297,-82.3413925170898,6.6,-1.7000000000000002,2.0,0.0,0.0,12.1,30.25,61.66666666666666,1028.7770833333334,966.1270833333332,5.233333333333333,0.3655208333333333,1832.0
4451988,2006-12-11 03:45:00,37.6147232055664,-79.3655548095703,12.3,-2.65,2.95,0.0,0.0,8.9,21.950000000000003,56.4375,1030.4604166666666,973.2520833333332,0.9333333333333336,0.4400416666666666,1833.0
4451992,2006-07-15 21:30:00,34.8722229003906,-93.7916641235352,36.7,24.9,30.35,0.55,0.0,9.5,27.0,59.72916666666666,1015.8666666666668,993.1916666666666,29.95625,0.3447291666666666,1834.0
4451993,2006-07-16 01:00:00,34.4677772521973,-94.1600036621094,35.05,24.0,29.25,0.0,0.0,9.25,23.4,57.10416666666666,1017.69375,964.3416666666668,28.995833333333334,0.3064583333333333,1835.0
4451997,2006-07-17 16:30:00,34.1936111450195,-94.896110534668,37.2,26.35,31.65,0.0,0.0,11.15,21.4,53.1875,1015.8666666666668,985.8833333333332,31.4875,0.2696666666666666,1836.0
4451999,2006-07-19 04:03:00,34.861946105957,-93.1813888549805,38.95,25.35,32.45,0.0,0.0,8.75,20.7,46.0625,1014.6895833333332,989.9833333333332,32.010416666666664,0.277625,1837.0
4452003,2006-07-21 14:00:00,34.2694435119629,-94.6761093139648,39.35,26.35,32.599999999999994,0.0,0.0,11.35,19.8,47.270833333333336,1014.90625,987.125,32.52916666666667,0.2620208333333333,1838.0
4452005,2006-07-21 01:24:00,34.7538871765137,-93.3477783203125,39.6,26.1,32.65,0.05,0.0,12.2,21.95,44.41666666666666,1014.9895833333334,979.7833333333334,32.5625,0.2670208333333334,1839.0
4452006,2006-07-20 21:48:00,34.8480567932129,-94.2441635131836,39.2,25.2,32.349999999999994,0.0,0.0,10.3,20.7,46.35416666666666,1015.2270833333332,977.2541666666666,32.06041666666667,0.2785208333333333,1840.0
