OBJECTID,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m
4540275,-1.75,0.0,36.958333333333336
4540276,-2.95,0.0,46.895833333333336
4540287,24.05,0.0,49.520833333333336
4540293,24.5,0.0,57.3125
4540294,25.9,0.0,56.583333333333336
4540306,7.7,0.15,51.895833333333336
4540314,21.3,0.75,65.75
4540352,14.1,0.0,33.729166666666664
4540353,12.5,0.05,55.41666666666666
4540356,14.75,0.0,47.35416666666666
4540358,20.4,0.0,41.625
4540360,23.05,0.0,54.395833333333336
4540362,29.15,0.0,78.85416666666667
4540384,13.5,0.6,61.41666666666666
4540410,21.65,2.1,55.708333333333336
4540530,12.6,0.0,58.04166666666666
4540531,12.1,0.0,56.020833333333336
4540532,12.1,2.25,60.9375
4540536,7.6,0.0,56.083333333333336
4540538,4.85,0.35,54.833333333333336
4540540,4.65,0.0,45.020833333333336
4540543,3.55,0.0,38.083333333333336
4540549,20.5,1.9,85.91666666666667
4540559,25.75,0.85,69.1875
4540585,25.700000000000003,0.15,72.02083333333333
4540631,16.2,0.0,48.41666666666666
4540635,18.55,3.7,59.0
4540640,12.1,0.3,65.4375
4540647,22.05,0.0,58.1875
4540649,21.85,0.0,58.125
4540654,21.35,0.0,66.10416666666667
4540655,20.1,0.0,69.125
4540665,17.1,0.0,51.5
4540821,27.2,0.0,49.958333333333336
4540837,20.5,0.0,59.395833333333336
4540898,24.6,3.55,65.79166666666667
4540906,16.3,0.65,59.0
4540931,28.4,0.0,46.5
4540942,19.75,2.0,59.375
4540981,27.55,0.0,38.208333333333336
4540993,20.8,0.45,57.333333333333336
4541031,25.5,0.7,57.54166666666666
4541228,30.7,0.1,44.833333333333336
4541259,22.200000000000003,0.05,54.9375
4541385,29.9,1.6,53.9375
4541428,29.05,0.4,47.375
4541446,22.3,0.0,29.541666666666668
4541448,4.2,0.6,47.208333333333336
4541457,21.4,4.85,62.375
4541495,12.45,1.95,70.875
4541564,30.5,0.1,44.35416666666666
4541611,16.2,1.7,59.083333333333336
4541680,18.6,0.05,42.8125
4541695,21.9,0.1,45.395833333333336
4541704,25.0,1.0,45.875
4541771,16.4,0.0,37.145833333333336
4541772,23.700000000000003,0.0,37.270833333333336
4541773,20.65,0.85,31.729166666666668
4541842,17.9,0.0,51.60416666666666
4541857,29.9,0.55,47.60416666666666
4541860,32.7,0.5,38.91666666666666
4541865,32.7,0.0,26.27083333333333
4541876,33.55,0.0,29.08333333333333
4541882,30.25,0.75,51.145833333333336
4541905,13.95,0.0,28.95833333333333
4541907,20.3,3.75,62.145833333333336
4541930,26.45,1.15,41.270833333333336
4541946,28.4,0.0,31.64583333333333
4541950,29.75,6.95,53.25
